Level,Date and Time,Source,Event ID,Task Category
Warning,16-Sep-20 10:02:58 AM,Netwtw08,6062,None,6062 - Lso was triggered
Information,16-Sep-20 10:02:57 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Settings\settings.dat was cleared updating 60 keys and creating 4 modified pages.
Information,16-Sep-20 10:02:55 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2020‎-‎09‎-‎15T21:35:30.743324800Z
Wake Time: ‎2020‎-‎09‎-‎16T17:02:54.022770000Z

Wake Source: Unknown"
Warning,16-Sep-20 10:02:54 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,16-Sep-20 10:02:54 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16-Sep-20 10:02:54 AM,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,16-Sep-20 10:02:54 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,16-Sep-20 10:02:54 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,16-Sep-20 10:02:53 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,16-Sep-20 10:02:53 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,16-Sep-20 10:02:53 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,16-Sep-20 10:02:53 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,16-Sep-20 10:02:53 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,16-Sep-20 10:02:53 AM,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,16-Sep-20 10:02:53 AM,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,16-Sep-20 10:02:52 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎09‎-‎16T17:02:52.500000000Z from ‎2020‎-‎09‎-‎15T21:35:33.615468500Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,15-Sep-20 2:35:33 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,15-Sep-20 2:35:31 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,15-Sep-20 2:35:30 PM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,15-Sep-20 2:35:30 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,15-Sep-20 2:26:17 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,15-Sep-20 2:26:16 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
